r,G(r),G_err(r)
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.550045913682261300e-01,5.848428724990049066e-01,1.529460015178969214e-02
1.880624426078970401e+00,4.780980257549306556e-01,1.919593528160530235e-02
2.776859504132232814e+00,4.228875193263491594e-01,2.449345195066551448e-02
3.643709825528008039e+00,3.913407710162544184e-01,2.835477152149198585e-02
4.481175390266297853e+00,3.694383414549299305e-01,3.093147128768682780e-02
5.289256198347109361e+00,3.494206312370625178e-01,3.244856262193905605e-02
6.067952249770431905e+00,3.296973708106931689e-01,3.329699359758533234e-02
6.817263544536272590e+00,3.118166993365650286e-01,3.209379820091944752e-02
7.537190082644627864e+00,2.845153509129786928e-01,3.387176958869405480e-02
8.227731864095499503e+00,2.583944034284698654e-01,3.729181269677570715e-02
8.888888888888889284e+00,2.468911968819952618e-01,3.983622872904754586e-02
9.520661157024793653e+00,2.341830582416301876e-01,3.967586375617274119e-02
1.012304866850321261e+01,2.102428277291089331e-01,4.044877639228960237e-02
1.069605142332415149e+01,1.863581558873796951e-01,4.253874860799555097e-02
1.123966942148760495e+01,1.829965928906528427e-01,4.210096948191776461e-02
1.175390266299357123e+01,1.642998065793187801e-01,4.340430499444571100e-02
1.223875114784205564e+01,1.637629298814408385e-01,4.481370460817592910e-02
1.269421487603305820e+01,1.441940509748710075e-01,4.501431185518361272e-02
1.312029384756657535e+01,1.388687793942017801e-01,4.642256270522786277e-02
1.351698806244260709e+01,1.287590239590441499e-01,4.860307086259831738e-02
1.388429752066115697e+01,1.315737979298142735e-01,4.374262325550024727e-02
1.422222222222222321e+01,1.205686978120724534e-01,4.700102283689044924e-02
1.453076216712580404e+01,1.517943277098588728e-01,4.660130968842506050e-02
1.480991735537190124e+01,1.326317688607118461e-01,3.423924853544784569e-02
1.505968778696051480e+01,1.120947880309531158e-01,3.675252404768854231e-02
1.528007346189164295e+01,8.499938957422219221e-02,4.273172906557452799e-02
1.547107438016528924e+01,1.569469955418735518e-01,4.051349577255640433e-02
1.563269054178145012e+01,1.040420336682316566e-01,3.444891163191235450e-02
1.576492194674012914e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.586776859504132275e+01,1.520206317644067218e-01,3.498288165125114368e-02
1.594123048668503273e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.598530762167125729e+01,1.874124104258946266e-01,4.347347158256641142e-02
