T,chi,chi_err
1.00000000e-05,1.16515969e-04,5.21335986e-06
1.00000000e-02,3.62917916e-05,1.62383038e-06
5.00000000e-02,2.35421189e-02,1.05336238e-03
1.00000000e-01,5.05905626e-01,2.26361083e-02
1.50000000e-01,5.21931927e+00,2.33531849e-01
1.60000000e-01,4.92492656e+00,2.20359619e-01
1.70000000e-01,9.51185672e+00,4.25596016e-01
1.80000000e-01,8.69550506e+00,3.89069392e-01
1.85000000e-01,2.02400861e+01,9.05617091e-01
1.90000000e-01,1.97990380e+01,8.85882948e-01
1.95000000e-01,2.67021902e+01,1.19475577e+00
2.00000000e-01,1.84244463e+01,8.24378582e-01
2.05000000e-01,2.18683117e+01,9.78469988e-01
2.10000000e-01,1.99258160e+01,8.91555471e-01
2.15000000e-01,1.77077438e+01,7.92310630e-01
2.20000000e-01,1.79645527e+01,8.03801220e-01
2.50000000e-01,8.03185864e+00,3.59375371e-01
3.00000000e-01,3.75932831e+00,1.68206397e-01
