T,eta,eta_err,xi,xi_err
1.00000000e-05,1.41287371e+00,2.30319127e-01,1.55619132e+00,5.02015927e-02
1.00000000e-02,5.91400407e-05,2.26875656e-06,5.71046655e+04,4.18721502e+03
5.00000000e-02,4.31202964e-03,2.67671057e-04,7.70455408e+02,4.19141755e+01
1.00000000e-01,2.82258966e-02,1.99303936e-03,1.17288987e+02,6.48521067e+00
1.50000000e-01,1.27603655e-01,9.77867658e-03,2.57556303e+01,1.09436085e+00
1.60000000e-01,1.43042592e-01,3.67408916e-03,2.38655985e+01,2.10194416e+00
1.70000000e-01,1.63329766e-01,8.34817445e-03,2.05911069e+01,1.50037425e+00
1.80000000e-01,2.28465591e-01,1.20276843e-02,1.47128593e+01,1.07275531e+00
1.85000000e-01,2.65457367e-01,1.28832944e-02,1.27041881e+01,9.72913296e-01
1.90000000e-01,2.81046141e-01,2.33877742e-02,1.17418542e+01,7.45167653e-01
1.95000000e-01,4.53395566e-01,2.13251767e-02,7.40313539e+00,4.86753008e-01
2.00000000e-01,5.30510861e-01,4.62918446e-02,6.15030524e+00,2.29734047e-01
2.05000000e-01,6.99554210e-01,3.98789473e-02,4.76866854e+00,2.84570017e-01
2.10000000e-01,6.61259886e-01,2.44840986e-02,5.14544043e+00,4.45637635e-01
2.15000000e-01,9.65737970e-01,9.69059176e-02,3.35545601e+00,1.40382045e-01
2.20000000e-01,7.27165557e-01,2.18484703e-02,4.69257806e+00,4.16508537e-01
2.50000000e-01,1.07329569e+00,3.37170355e-02,3.16669984e+00,2.60698975e-01
3.00000000e-01,1.99842332e+00,1.99941277e-01,1.12652881e+00,3.72044491e-02
