index,energy_per_site
0.000000000000000000e+00,4.710282727543630976e-01
1.000000000000000000e+00,1.050965610545118341e-02
2.000000000000000000e+00,1.238515872985658170e-02
3.000000000000000000e+00,1.166765175323060746e-02
4.000000000000000000e+00,1.034446796819158895e-02
5.000000000000000000e+00,1.073042317425990100e-02
6.000000000000000000e+00,1.089075043031126691e-02
7.000000000000000000e+00,1.078464719617331855e-02
8.000000000000000000e+00,1.124481695264270900e-02
9.000000000000000000e+00,1.133824336355304663e-02
