index,energy_per_site
0.000000000000000000e+00,-2.697329465449919139e-01
1.000000000000000000e+00,-2.650231487809714626e+00
2.000000000000000000e+00,-2.653699328619744335e+00
3.000000000000000000e+00,-2.653782070119159009e+00
4.000000000000000000e+00,-2.645566564103445373e+00
5.000000000000000000e+00,-2.651727804113087839e+00
6.000000000000000000e+00,-2.650134326669607354e+00
7.000000000000000000e+00,-2.649224754177335495e+00
8.000000000000000000e+00,-2.649345111709064060e+00
9.000000000000000000e+00,-2.651983807055590781e+00
