r,G(r),G_err(r)
6.590597889445714941e+01,6.677323302069824162e-01,7.880501370580767287e-03
6.659782888461597850e+01,6.671311202437950616e-01,7.921964067108154192e-03
6.728580296446577336e+01,6.659389488159047632e-01,8.070286514538463352e-03
6.796990113400656242e+01,6.643721170665143338e-01,8.221346308632008007e-03
6.865012339323834567e+01,6.633207274839264533e-01,8.392058640508955752e-03
6.932646974216112312e+01,6.622572185564561398e-01,8.530613226208681385e-03
6.999894018077486635e+01,6.608789694036601992e-01,8.675055141661176805e-03
7.066753470907960377e+01,6.598142825738674278e-01,8.885947140092997909e-03
7.133225332707536381e+01,6.586129900194495068e-01,9.045501273278412982e-03
7.199309603476207542e+01,6.571435940981049662e-01,9.315522639391593182e-03
7.265006283213978122e+01,6.564160143278424675e-01,9.414604333344829198e-03
7.330315371920846701e+01,6.550357109225499741e-01,9.581743167719701179e-03
7.395236869596814699e+01,6.534940621016633866e-01,9.696305247598919347e-03
7.459770776241882118e+01,6.523551960267374161e-01,9.899672244630760079e-03
7.523917091856047534e+01,6.513282919407463734e-01,9.992387063595002672e-03
7.587675816439310950e+01,6.497339673945500271e-01,1.016213621795259911e-02
7.651046949991672363e+01,6.484287680361953132e-01,1.031493665815934498e-02
7.714030492513134618e+01,6.471658955596699681e-01,1.048279489895548137e-02
7.776626444003693450e+01,6.459004394228973212e-01,1.054599241008870314e-02
7.838834804463353123e+01,6.444452118413497299e-01,1.071586920190933066e-02
7.900655573892109373e+01,6.427358395456992390e-01,1.099042160246007337e-02
7.962088752289966465e+01,6.419589302703616607e-01,1.095218017943164895e-02
8.023134339656920133e+01,6.406505518970303514e-01,1.107303344409795061e-02
8.083792335992973221e+01,6.393606082009228864e-01,1.137019868397430057e-02
8.144062741298128572e+01,6.381692666938171277e-01,1.149886027389940106e-02
8.203945555572377657e+01,6.370136480260439882e-01,1.158662760607883334e-02
8.263440778815727583e+01,6.358487622621978863e-01,1.188344291388343174e-02
8.322548411028176929e+01,6.346493996983327834e-01,1.210728094650802625e-02
8.381268452209722852e+01,6.334780438819695991e-01,1.210269298619385744e-02
8.439600902360369616e+01,6.323749198371443336e-01,1.245345000164172974e-02
8.497545761480114379e+01,6.312319264260507490e-01,1.296278224366366819e-02
8.555103029568957140e+01,6.299725642113077617e-01,1.280086091218423684e-02
8.612272706626899321e+01,6.287484794201925187e-01,1.312983663370267083e-02
8.669054792653938080e+01,6.277384934312892906e-01,1.346390088911574544e-02
8.725449287650079100e+01,6.262861336291056791e-01,1.341863515239102335e-02
8.781456191615316698e+01,6.254165867311479721e-01,1.394339952341183339e-02
8.837075504549652294e+01,6.243587657884700493e-01,1.413517268622808444e-02
8.892307226453087310e+01,6.230377848037420563e-01,1.431604271993446205e-02
8.947151357325620324e+01,6.223992455888565090e-01,1.512388020943404750e-02
9.001607897167252759e+01,6.208342640409116875e-01,1.483924424288564532e-02
9.055676845977987455e+01,6.201108915205848504e-01,1.548201404325798454e-02
9.109358203757815886e+01,6.191229393341427523e-01,1.593049049918478927e-02
9.162651970506745158e+01,6.173013147171636517e-01,1.576606955119685613e-02
