T,chi6,chi6_error
1.00000000e-05,4.92479054e+00,4.75886355e+01
1.00000000e-02,6.55181516e+00,3.40316795e+01
5.00000000e-02,9.83743006e+00,3.36739975e+01
1.00000000e-01,5.68257135e+00,1.68814850e+01
5.00000000e-01,1.03197203e+00,5.36686854e-01
