r,G(r),G_err(r)
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.970779233116786600e-01,9.589667764166028840e-01,1.157120972114495896e-04
1.992210328724127066e+00,9.482996900572743249e-01,1.698140214140144257e-04
2.985397216237458906e+00,9.422310389245124318e-01,1.955470379378468099e-04
3.976638585851674179e+00,9.378977347366306283e-01,2.260835411948470717e-04
4.965934437566772885e+00,9.345379180987823942e-01,2.520189627623656650e-04
5.953284771382641338e+00,9.315016294757156867e-01,2.870590091256641362e-04
6.938689587299393224e+00,9.289265955257578478e-01,3.435577815806388361e-04
7.922148885317028544e+00,9.265180952297509265e-01,3.922947460935629163e-04
8.903662665435547297e+00,9.244685269076341472e-01,4.329415337929508681e-04
9.883230927654864217e+00,9.228159462283055392e-01,4.669352857748125876e-04
1.086085367197500773e+01,9.213080909180610956e-01,5.057215593231704533e-04
1.183653089839609152e+01,9.198897992980369365e-01,5.373166491607916668e-04
1.281026260691800189e+01,9.186028546320434973e-01,5.612810485598041356e-04
1.378204879754073886e+01,9.172885834939263905e-01,5.759205088949987880e-04
1.475188947026433084e+01,9.160200877030478805e-01,6.143356319099885611e-04
1.571978462508880625e+01,9.148992243528242252e-01,6.426021379878892742e-04
1.668573426201416510e+01,9.139145887474005026e-01,6.813930160446360785e-04
1.764973838104032211e+01,9.129018215969878502e-01,7.278057330311087829e-04
1.861179698216733414e+01,9.119472893449999118e-01,7.881610506913765569e-04
1.957191006539522959e+01,9.110459516838462779e-01,8.432785395135543142e-04
2.053007763072400849e+01,9.102355115989781975e-01,8.963607334743506089e-04
2.148629967815358555e+01,9.094617479823758899e-01,9.581205660680068353e-04
2.244057620768401762e+01,9.086147363653632736e-01,1.018546385444304677e-03
2.339290721931533312e+01,9.078354208439458617e-01,1.080628337753052884e-03
2.434329271304753206e+01,9.071237816041354263e-01,1.146843005829400151e-03
2.529173268888052917e+01,9.064459484215147134e-01,1.203672470731245031e-03
2.623822714681438129e+01,9.058243012082700663e-01,1.257989067833577886e-03
2.718277608684914526e+01,9.052285407388489524e-01,1.318577410661772847e-03
2.812537950898473582e+01,9.046033137832943938e-01,1.387473632651752128e-03
2.906603741322115297e+01,9.040041552508482070e-01,1.444353610427966854e-03
3.000474979955842514e+01,9.034510086094759140e-01,1.508569622484522664e-03
3.094151666799660916e+01,9.028874636962602729e-01,1.580071952310223250e-03
3.187633801853564819e+01,9.023430719107523590e-01,1.659925744395040646e-03
3.280921385117548539e+01,9.018063227034944784e-01,1.736574317522157499e-03
3.374014416591617760e+01,9.012836137563392525e-01,1.804925673450848015e-03
3.466912896275778166e+01,9.007340491392167303e-01,1.873809324737604580e-03
3.559616824170021232e+01,9.002064577676150980e-01,1.929326503190614264e-03
3.652126200274346957e+01,8.997305654886027515e-01,1.978967269890493947e-03
3.744441024588758182e+01,8.992706471105599286e-01,2.033563323163769566e-03
3.836561297113260594e+01,8.988305891314622986e-01,2.082484098024521123e-03
3.928487017847848506e+01,8.984129794457776930e-01,2.133506652345298297e-03
4.020218186792516235e+01,8.980128739842189178e-01,2.183938723834247166e-03
4.111754803947269465e+01,8.976200423843213594e-01,2.227266450145945140e-03
4.203096869312113881e+01,8.972404937667951552e-01,2.264711703640266693e-03
4.294244382887043798e+01,8.968596987658915554e-01,2.303599332311653813e-03
4.385197344672053532e+01,8.965381790175418475e-01,2.337689491051416543e-03
4.475955754667151609e+01,8.961979711738007337e-01,2.372914438478001577e-03
4.566519612872335188e+01,8.958614367106827459e-01,2.407165165553904959e-03
4.656888919287607109e+01,8.955394813767162399e-01,2.430981794384091520e-03
4.747063673912961690e+01,8.952018978786290271e-01,2.462419438593184753e-03
4.837043876748398930e+01,8.948502511592432151e-01,2.475264426796532601e-03
4.926829527793927355e+01,8.945036284068609289e-01,2.488086935935952468e-03
5.016420627049541281e+01,8.941962875482740714e-01,2.481457323813345776e-03
5.105817174515235024e+01,8.939310297937010930e-01,2.484385205997919222e-03
5.195019170191014268e+01,8.936297722129539212e-01,2.488859447748302794e-03
5.284026614076884698e+01,8.933500611622576804e-01,2.496554487824712704e-03
5.372839506172840629e+01,8.930957962847791975e-01,2.494118730265964482e-03
5.461457846478879219e+01,8.928661516688666255e-01,2.484961861394604891e-03
5.549881634995000468e+01,8.926005009498038101e-01,2.489522414484346673e-03
5.638110871721212902e+01,8.923595507295360996e-01,2.487133973534638633e-03
5.726145556657510838e+01,8.921417607596110466e-01,2.474934343082657584e-03
5.813985689803888590e+01,8.919369114144953814e-01,2.462144210005374947e-03
5.901631271160354686e+01,8.917319046254350567e-01,2.449355749823847392e-03
5.989082300726909125e+01,8.915152768115482962e-01,2.430211870878265165e-03
6.076338778503549065e+01,8.913048428699087422e-01,2.407196655349371460e-03
6.163400704490268822e+01,8.911075610714470630e-01,2.369278689569717569e-03
6.250268078687076923e+01,8.908652522048639000e-01,2.358758875863734700e-03
