index,energy_per_site
0.000000000000000000e+00,5.003523989832694974e-02
1.000000000000000000e+00,5.253492674850449191e-03
2.000000000000000000e+00,5.285178230232727599e-03
3.000000000000000000e+00,5.525136384029103592e-03
4.000000000000000000e+00,4.927046597326623090e-03
5.000000000000000000e+00,5.068989161542074295e-03
6.000000000000000000e+00,4.933096909765938461e-03
7.000000000000000000e+00,4.992082971790283777e-03
8.000000000000000000e+00,4.538761328336278836e-03
9.000000000000000000e+00,5.085707749597950626e-03
