step,energy_per_site
0.000000000000000000e+00,5.407808601815828897e-01
5.000000000000000000e+05,3.210507976717227874e-01
1.000000000000000000e+06,3.328993509527482519e-01
1.500000000000000000e+06,3.186609815585532690e-01
2.000000000000000000e+06,3.138873732026755126e-01
2.500000000000000000e+06,3.193478512181779361e-01
3.000000000000000000e+06,3.275192733794756728e-01
3.500000000000000000e+06,3.251911207013427063e-01
4.000000000000000000e+06,3.305394338847271185e-01
4.500000000000000000e+06,3.133522429945388432e-01
5.000000000000000000e+06,3.298814306508857097e-01
