r,G(r),G_err(r)
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.770414201183399427e-01,7.780379571675749562e-01,3.240571422042953353e-03
1.938934911242604642e+00,7.169656356200756475e-01,4.356080478065639180e-03
2.885680473372783439e+00,6.816762314080551111e-01,5.827454927297141991e-03
3.817278106508876334e+00,6.547437116188309369e-01,7.886283176448016796e-03
4.733727810650883328e+00,6.313203491597899619e-01,1.013125704339473861e-02
5.635029585798818630e+00,6.135977215080634650e-01,1.239515833949390855e-02
6.521183431952664478e+00,5.974246082279794923e-01,1.423930502710584606e-02
7.392189349112427976e+00,5.785359238283958039e-01,1.636201571536122570e-02
8.248047337278105573e+00,5.613533028196548980e-01,1.830965868192829110e-02
9.088757396449704373e+00,5.474751185385535734e-01,2.075728127885681160e-02
9.914319526627220824e+00,5.320781611566471891e-01,2.355068740649967143e-02
1.072473372781065137e+01,5.190817061740096161e-01,2.564754771387069837e-02
1.151999999999999602e+01,5.052328955362026530e-01,2.808514092765062448e-02
1.230011834319526542e+01,4.918705731624520849e-01,3.011008651852083162e-02
1.306508875739645248e+01,4.823835160229693608e-01,3.170898346177259547e-02
1.381491124260355008e+01,4.684432080759418637e-01,3.374324290254174935e-02
1.454958579881656533e+01,4.548316309637345789e-01,3.623260693597035037e-02
1.526911242603550534e+01,4.423642165840246387e-01,3.919679132860483251e-02
1.597349112426035944e+01,4.297809150161879255e-01,4.193660847138283576e-02
1.666272189349112409e+01,4.216660610948522181e-01,4.426797535999694305e-02
1.733680473372780995e+01,4.125353475759284128e-01,4.713172651601457708e-02
1.799573964497041345e+01,4.014298538800845639e-01,5.018881994172403466e-02
1.863952662721893816e+01,3.920638492931844965e-01,5.246849588027709815e-02
1.926816568047337341e+01,3.866854710266154904e-01,5.403871214682162000e-02
1.988165680473372632e+01,3.754462599275818491e-01,5.547414928171491566e-02
2.048000000000000043e+01,3.664180003179310918e-01,5.776184579843435946e-02
2.106319526627219219e+01,3.645162978993062852e-01,5.893951116686341196e-02
2.163124260355029804e+01,3.524348919883854014e-01,6.023091524629427262e-02
2.218414201183431800e+01,3.451234979516939472e-01,6.264023659321264759e-02
2.272189349112426271e+01,3.426037773165059863e-01,6.344413030128927267e-02
2.324449704142012152e+01,3.342440605372961615e-01,6.477854744131845977e-02
2.375195266272189443e+01,3.321212023774485766e-01,6.593906483818928743e-02
2.424426035502958499e+01,3.241277826708869325e-01,6.693501906228879750e-02
2.472142011834319675e+01,3.174554518592775376e-01,6.816871447736091993e-02
2.518343195266272261e+01,3.151571859347982452e-01,6.801227666128527305e-02
2.563029585798816612e+01,3.082472659434739026e-01,6.944068727635666072e-02
2.606201183431952728e+01,3.018856301679516685e-01,6.969394764555808530e-02
2.647857988165680609e+01,3.067626096070200092e-01,7.059598905003755531e-02
2.688000000000000256e+01,2.966910205029416048e-01,7.132146487832281834e-02
2.726627218934911312e+01,3.022221601584861306e-01,7.042219163558860462e-02
2.763739644970414133e+01,2.900721622333405914e-01,7.836407079673637921e-02
2.799337278106509075e+01,2.989642253787825332e-01,7.116532519650325961e-02
2.833420118343195426e+01,2.939625281536817347e-01,7.464294182841535452e-02
2.865988165680473543e+01,2.933253097702590573e-01,7.740534434204345005e-02
2.897041420118343069e+01,2.957892787463445861e-01,6.997807484434376279e-02
2.926579881656804716e+01,2.875491855514879513e-01,7.940452753262469687e-02
2.954603550295858128e+01,2.922918332482999926e-01,7.660753264597724987e-02
2.981112426035502949e+01,2.927978281625295831e-01,7.121649425821671708e-02
3.006106508875739536e+01,2.924936570012040549e-01,6.871410036158585866e-02
3.029585798816568243e+01,2.851951920129038309e-01,8.192465571077911513e-02
3.051550295857988360e+01,2.872685550134733701e-01,7.639211893050909530e-02
3.071999999999999886e+01,2.876852328378265988e-01,6.989705239191333630e-02
3.090934911242603533e+01,2.748450940104307239e-01,6.391087643355561343e-02
3.108355029585798945e+01,2.848274418633264249e-01,8.082249598569964111e-02
3.124260355029585767e+01,3.000110831042427928e-01,9.354748722754951951e-02
3.138650887573964710e+01,2.811226864118540614e-01,7.144355290602723285e-02
3.151526627218935062e+01,2.836214111652719527e-01,7.509740501425987702e-02
3.162887573964497179e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.172733727810651061e+01,2.835037804528519056e-01,6.513432425751457255e-02
3.181065088757396353e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.187881656804733765e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.193183431952662588e+01,3.036249071848985404e-01,6.877531219103402704e-02
3.196970414201183530e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.199242603550295883e+01,2.921749195084925033e-01,7.587986011275994758e-02
