r,G,G_error
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.770414201183399427e-01,9.540226254818130469e-01,4.877622756733180861e-04
1.938934911242604642e+00,9.417606322722117396e-01,3.936140263942585534e-04
2.885680473372783439e+00,9.333364468303426698e-01,4.175774016841802519e-04
3.817278106508876334e+00,9.270185232104585227e-01,5.553142961272600859e-04
4.733727810650883328e+00,9.211653330423575925e-01,6.484075279254195674e-04
5.635029585798818630e+00,9.167192384275519856e-01,8.146373923416325982e-04
6.521183431952664478e+00,9.127125532654161155e-01,1.116525792541663530e-03
7.392189349112427976e+00,9.084517993775491629e-01,1.383156053719002956e-03
8.248047337278105573e+00,9.041995716648156822e-01,1.545973367612263512e-03
9.088757396449704373e+00,9.007726401446489728e-01,1.800582689638899380e-03
9.914319526627220824e+00,8.970955500270150207e-01,2.023361483096394048e-03
1.072473372781065137e+01,8.945685260213896983e-01,2.115085710081328861e-03
1.151999999999999602e+01,8.925891109288069947e-01,2.199394824661299232e-03
1.230011834319526542e+01,8.913253869783891448e-01,2.292308514180686589e-03
1.306508875739645248e+01,8.914576307424162405e-01,2.153421168143646990e-03
1.381491124260355008e+01,8.896488272147483611e-01,2.129593300948630970e-03
1.454958579881656533e+01,8.884743116751451231e-01,2.115552418727926608e-03
1.526911242603550534e+01,8.881892078646874689e-01,1.925934931883704123e-03
1.597349112426035944e+01,8.881685861802259829e-01,1.817280895641378230e-03
1.666272189349112409e+01,8.882211370103757497e-01,1.580043771022314079e-03
1.733680473372780995e+01,8.856441651528481618e-01,1.734770901545225254e-03
1.799573964497041345e+01,8.849169872147846228e-01,1.706652279953342318e-03
1.863952662721893816e+01,8.846168218088193980e-01,1.640558850317307095e-03
1.926816568047337341e+01,8.856768079765142687e-01,1.376934898954876264e-03
1.988165680473372632e+01,8.849652474687776937e-01,1.575899197595652260e-03
2.048000000000000043e+01,8.850575058842253817e-01,1.356425629370935871e-03
2.106319526627219219e+01,8.882491952471253116e-01,9.507379586861313498e-04
2.163124260355029804e+01,8.851249695806423512e-01,1.262359887394961340e-03
2.218414201183431800e+01,8.851140989958818928e-01,1.296142839281706760e-03
2.272189349112426271e+01,8.872022763200060336e-01,1.002766769392512795e-03
2.324449704142012152e+01,8.857971058724074531e-01,1.456544283217650875e-03
2.375195266272189443e+01,8.885502730269293492e-01,1.097437623511833028e-03
2.424426035502958499e+01,8.863077904554116371e-01,1.588498144530452313e-03
2.472142011834319675e+01,8.859630313492079523e-01,1.380249517366495841e-03
2.518343195266272261e+01,8.877731030195238349e-01,1.297894008321657990e-03
2.563029585798816612e+01,8.868746282168665784e-01,1.283150895547711338e-03
2.606201183431952728e+01,8.863896073972173939e-01,1.598799702063304767e-03
2.647857988165680609e+01,8.879410792813504649e-01,8.992607075500894066e-04
2.688000000000000256e+01,8.831130250515900615e-01,1.399913251929070946e-03
2.726627218934911312e+01,8.864124198702486579e-01,1.122006885356087317e-03
2.763739644970414133e+01,8.744284320116265663e-01,1.823548544139070963e-03
2.799337278106509075e+01,8.819049564536282082e-01,1.166688325627562818e-03
2.833420118343195426e+01,8.774054172502505633e-01,1.457779632619484117e-03
2.865988165680473543e+01,8.711344653702327578e-01,1.775053753745887714e-03
2.897041420118343069e+01,8.822344604258436362e-01,1.292654932083703041e-03
2.926579881656804716e+01,8.683884915034965069e-01,1.812304727066300870e-03
2.954603550295858128e+01,8.677070147555405732e-01,1.727099711013970525e-03
2.981112426035502949e+01,8.734988068517423043e-01,1.571614333065237323e-03
3.006106508875739536e+01,8.727606593500819576e-01,1.489837237733193523e-03
3.029585798816568243e+01,8.544122952124030279e-01,2.019863910624175671e-03
3.051550295857988360e+01,8.652288157437006966e-01,1.956780151080337454e-03
3.071999999999999886e+01,8.620502832569421070e-01,1.864076313116505698e-03
3.090934911242603533e+01,8.592320679381468818e-01,2.170949001455188109e-03
3.108355029585798945e+01,8.427925237162522398e-01,1.850274774563876855e-03
3.124260355029585767e+01,8.383979176299082292e-01,2.610543187357533025e-03
3.138650887573964710e+01,8.485739521119857187e-01,1.932379642227898160e-03
3.151526627218935062e+01,8.466447692330212327e-01,2.151034712587808224e-03
3.162887573964497179e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.172733727810651061e+01,8.430484317473673217e-01,2.133621272887784460e-03
3.181065088757396353e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.187881656804733765e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.193183431952662588e+01,8.285259322733131704e-01,2.673612849864464517e-03
3.196970414201183530e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.199242603550295883e+01,8.025809495402459470e-01,2.426373919997821312e-03
