step,energy_per_site
0.000000000000000000e+00,5.315906042963143285e-01
5.000000000000000000e+05,1.397713397020838855e-01
1.000000000000000000e+06,1.324622437811732723e-01
1.500000000000000000e+06,1.291570350528409294e-01
2.000000000000000000e+06,1.407754855292066565e-01
2.500000000000000000e+06,1.340996389140221012e-01
3.000000000000000000e+06,1.290870324818829129e-01
3.500000000000000000e+06,1.319817734473406334e-01
4.000000000000000000e+06,1.313319719744769909e-01
4.500000000000000000e+06,1.314088708735173805e-01
5.000000000000000000e+06,1.338977163514784019e-01
