index,energy_per_site
0.000000000000000000e+00,5.284902689503054862e-01
1.000000000000000000e+00,2.142353534338774790e-01
2.000000000000000000e+00,2.136579515584451916e-01
3.000000000000000000e+00,2.149833423653045028e-01
4.000000000000000000e+00,2.138561937196822582e-01
5.000000000000000000e+00,2.140577636753037138e-01
6.000000000000000000e+00,2.148646334458713669e-01
7.000000000000000000e+00,2.135535435303616003e-01
8.000000000000000000e+00,2.147990375305926236e-01
9.000000000000000000e+00,2.139493052789220306e-01
