T,chi6,chi6_error
5.00000000e-02,1.41453417e-03,8.55021975e-02
6.00000000e-02,1.31657557e-03,2.39606807e-01
7.00000000e-02,1.00889578e-03,2.46866577e-01
8.00000000e-02,1.38677809e-03,9.05443949e-01
9.00000000e-02,1.33771515e-02,1.14128036e+00
1.00000000e-01,4.46169874e-03,3.97635123e-01
1.50000000e-01,3.03466395e-02,2.75549463e+00
1.60000000e-01,4.34903173e-02,3.41905860e+00
1.70000000e-01,4.06753027e-02,1.68621875e+00
1.80000000e-01,2.43450742e-02,2.86403374e+00
1.90000000e-01,1.80949094e-01,2.25781931e+00
2.00000000e-01,6.07635907e-02,1.75905236e+00
2.10000000e-01,2.66581947e-01,1.35423774e+00
2.20000000e-01,1.51846504e-01,1.20530110e+00
