step,energy_per_site
0.000000000000000000e+00,1.127874444532961817e+00
5.000000000000000000e+05,7.459966691567709862e-01
1.000000000000000000e+06,7.082796988500109636e-01
1.500000000000000000e+06,6.943380290198796212e-01
2.000000000000000000e+06,7.020794138165054044e-01
2.500000000000000000e+06,6.957318889061739897e-01
3.000000000000000000e+06,6.900066405057511121e-01
3.500000000000000000e+06,6.886437280089424684e-01
4.000000000000000000e+06,6.872173091339780493e-01
4.500000000000000000e+06,6.897348814769852510e-01
5.000000000000000000e+06,7.015049004179951808e-01
