index,energy_per_site
0.000000000000000000e+00,-3.563404908733160403e-01
1.000000000000000000e+00,-2.875971764824124310e+00
2.000000000000000000e+00,-2.875971659309057848e+00
3.000000000000000000e+00,-2.875970933471869717e+00
4.000000000000000000e+00,-2.875971729515580222e+00
5.000000000000000000e+00,-2.875971337103491177e+00
6.000000000000000000e+00,-2.875971235739533061e+00
7.000000000000000000e+00,-2.875971576655440565e+00
8.000000000000000000e+00,-2.875971424371128293e+00
9.000000000000000000e+00,-2.875971869140304005e+00
