step,energy_per_site
0.000000000000000000e+00,1.128111585419141694e+00
5.000000000000000000e+05,6.807689621426030735e-01
1.000000000000000000e+06,5.915672906919787755e-01
1.500000000000000000e+06,5.892719622431662474e-01
2.000000000000000000e+06,5.819680171238108546e-01
2.500000000000000000e+06,5.910834708527323844e-01
3.000000000000000000e+06,5.939164487621331201e-01
3.500000000000000000e+06,5.886256160577987284e-01
4.000000000000000000e+06,5.834343400721540007e-01
4.500000000000000000e+06,5.868817144500404481e-01
5.000000000000000000e+06,5.857474391219849030e-01
