r,G
0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e-01,8.127402991775252161e-01
1.500000000000000000e+00,7.065170115533615514e-01
2.500000000000000000e+00,6.619924903750770140e-01
3.500000000000000000e+00,6.320215339180769165e-01
4.500000000000000000e+00,6.111214851712671869e-01
5.500000000000000000e+00,5.953689328559619298e-01
6.500000000000000000e+00,5.841055755436369568e-01
7.500000000000000000e+00,5.739141198184474213e-01
8.500000000000000000e+00,5.645947114222732433e-01
9.500000000000000000e+00,5.563206822110979832e-01
1.050000000000000000e+01,5.496453145388620065e-01
1.150000000000000000e+01,5.431800160939466160e-01
1.250000000000000000e+01,5.361127508212031323e-01
1.350000000000000000e+01,5.307993735490148524e-01
1.450000000000000000e+01,5.250120537743767635e-01
1.550000000000000000e+01,5.213620120092190557e-01
1.650000000000000000e+01,5.209445793292253324e-01
1.750000000000000000e+01,5.173672544539456020e-01
1.850000000000000000e+01,5.151853775124647372e-01
1.950000000000000000e+01,5.130092591234497457e-01
2.050000000000000000e+01,5.114931069149581955e-01
2.150000000000000000e+01,5.098373082633632647e-01
2.250000000000000000e+01,5.088433163902624790e-01
2.350000000000000000e+01,5.072520345303803690e-01
2.450000000000000000e+01,5.072846576795336793e-01
2.550000000000000000e+01,5.062639080014637027e-01
2.650000000000000000e+01,5.074615470617963586e-01
2.750000000000000000e+01,5.068389635618341105e-01
2.850000000000000000e+01,5.083107213433873950e-01
2.950000000000000000e+01,5.075111622570407377e-01
3.050000000000000000e+01,5.080445048284492060e-01
3.150000000000000000e+01,5.067969311106684804e-01
3.250000000000000000e+01,5.068445751095770335e-01
3.350000000000000000e+01,5.050028738985571364e-01
3.450000000000000000e+01,5.044623304117197282e-01
3.550000000000000000e+01,5.019502679502113596e-01
3.650000000000000000e+01,5.004691736969020255e-01
3.750000000000000000e+01,4.986491264971249504e-01
3.850000000000000000e+01,4.968893442429923590e-01
3.950000000000000000e+01,4.952599004498339230e-01
4.050000000000000000e+01,4.936194829778056681e-01
4.150000000000000000e+01,4.925621955591416579e-01
4.250000000000000000e+01,4.909832905956118543e-01
4.350000000000000000e+01,4.898238507673777220e-01
4.450000000000000000e+01,4.886963213644586190e-01
4.550000000000000000e+01,4.871376888213720391e-01
4.650000000000000000e+01,4.853108465952123973e-01
4.750000000000000000e+01,4.834893219775027728e-01
4.850000000000000000e+01,4.826172565597806052e-01
4.950000000000000000e+01,4.818913999152193983e-01
5.050000000000000000e+01,4.808896846504092104e-01
5.150000000000000000e+01,4.805405883052059068e-01
5.250000000000000000e+01,4.797334054788721658e-01
5.350000000000000000e+01,4.785937227178976849e-01
5.450000000000000000e+01,4.773547059976234186e-01
5.550000000000000000e+01,4.764900216668650490e-01
5.650000000000000000e+01,4.744284699074896583e-01
5.750000000000000000e+01,4.745375369427629608e-01
5.850000000000000000e+01,4.733269312301500720e-01
5.950000000000000000e+01,4.728860947802132619e-01
6.050000000000000000e+01,4.720021138159781193e-01
6.150000000000000000e+01,4.716411707119268493e-01
6.250000000000000000e+01,4.702962188120748399e-01
6.350000000000000000e+01,4.704483642937308252e-01
