T,eta,eta_err,xi,xi_err
1.00000000e-05,9.79702135e-07,1.62715632e-08,1.58163649e+07,7.47036071e+05
5.00000000e-02,6.40930767e-03,1.71283291e-04,2.32458926e+03,7.55631564e+01
1.00000000e-01,1.18913009e-02,2.11750942e-04,1.29074334e+03,5.58297323e+01
2.00000000e-01,2.51196384e-02,7.42866682e-04,5.88433002e+02,1.76306377e+01
3.00000000e-01,4.35214806e-02,1.11519507e-03,3.43499958e+02,1.15762555e+01
4.00000000e-01,4.87783111e-02,1.02886814e-03,3.11702226e+02,1.25122403e+01
5.00000000e-01,4.90078477e-02,6.81910026e-04,3.37740543e+02,2.42475276e+01
6.00000000e-01,1.41788955e-01,7.46337658e-03,9.76846081e+01,1.02318896e+00
7.00000000e-01,1.94250345e-01,1.22705380e-02,6.93692974e+01,6.57224543e-01
8.00000000e-01,1.14361006e-01,3.46390388e-03,1.29861978e+02,4.36909527e+00
9.00000000e-01,1.51371814e-01,3.40388827e-03,9.96247954e+01,3.64183654e+00
1.00000000e+00,1.41552297e-01,2.07387715e-03,1.11399006e+02,6.02513568e+00
1.10000000e+00,1.31507631e-01,7.79766878e-04,1.22970188e+02,7.63642886e+00
1.20000000e+00,2.65938609e-01,1.14994685e-02,5.34380916e+01,9.19887987e-01
1.30000000e+00,2.17564486e-01,4.39682807e-03,6.98457504e+01,2.74969546e+00
1.40000000e+00,3.15822249e-01,8.39446973e-03,4.71860963e+01,1.53488972e+00
1.50000000e+00,3.22015448e-01,1.06622571e-02,4.63319572e+01,1.79596697e+00
1.60000000e+00,7.21109922e-01,3.35959308e-02,1.95356741e+01,2.96830986e-01
1.70000000e+00,1.40045286e+00,1.31237808e-01,7.24077941e+00,2.83989588e-01
2.00000000e+00,1.55115357e+00,1.83720761e-01,1.03385549e+01,1.74166052e+00
