T,chi,chi_err
1.00000000e-05,4.03713694e-05,1.80636593e-06
5.00000000e-02,3.07013599e-01,1.37369357e-02
1.00000000e-01,2.97771193e-01,1.33233959e-02
2.00000000e-01,7.18182558e-01,3.21341715e-02
3.00000000e-01,1.34569952e+00,6.02116255e-02
4.00000000e-01,8.34054909e-01,3.73187335e-02
5.00000000e-01,1.34487612e+00,6.01747835e-02
6.00000000e-01,2.16585103e+00,9.69082690e-02
7.00000000e-01,3.77997205e+00,1.69130075e-01
8.00000000e-01,1.46086105e+00,6.53643826e-02
9.00000000e-01,1.36764332e+00,6.11934731e-02
1.00000000e+00,7.13276738e+00,3.19146668e-01
1.10000000e+00,3.07504965e+00,1.37589213e-01
1.20000000e+00,2.93209601e+00,1.31192933e-01
1.30000000e+00,3.48004696e+00,1.55710306e-01
1.40000000e+00,9.37348232e+00,4.19404628e-01
1.50000000e+00,1.18507615e+01,5.30247357e-01
1.60000000e+00,1.21485027e+01,5.43569409e-01
1.70000000e+00,7.55154596e+00,3.37884387e-01
2.00000000e+00,2.06265257e+00,9.22907841e-02
