step,energy_per_site
0.000000000000000000e+00,5.396771493762619887e-01
1.000000000000000000e+06,9.016912329788707992e-02
2.000000000000000000e+06,9.089234303466461884e-02
3.000000000000000000e+06,9.071153027709882855e-02
4.000000000000000000e+06,9.023207518746247102e-02
5.000000000000000000e+06,9.138347180242135936e-02
6.000000000000000000e+06,9.152570230962914222e-02
7.000000000000000000e+06,8.776454480045550732e-02
8.000000000000000000e+06,8.870401237384296922e-02
9.000000000000000000e+06,9.054199721198903650e-02
1.000000000000000000e+07,8.988540610001778675e-02
