index,energy_per_site
0.000000000000000000e+00,-7.916535784535910780e-02
1.000000000000000000e+00,-1.921263957913195819e+00
2.000000000000000000e+00,-1.817958620566984651e+00
3.000000000000000000e+00,-1.961016198649729869e+00
4.000000000000000000e+00,-1.979272258394572770e+00
5.000000000000000000e+00,-1.845175853710199432e+00
6.000000000000000000e+00,-1.970183568845649491e+00
7.000000000000000000e+00,-1.885576199382266394e+00
8.000000000000000000e+00,-1.887159293209724309e+00
9.000000000000000000e+00,-2.006114952802788398e+00
