T,chi,chi_err
1.00000000e-05,1.54131244e-03,6.89640783e-05
5.00000000e-03,7.47710530e-01,3.34553633e-02
1.00000000e-02,1.33875201e+00,5.99007679e-02
5.00000000e-02,3.47440175e+00,1.55457718e-01
1.00000000e-01,3.03563328e+00,1.35825577e-01
1.50000000e-01,2.69300997e+00,1.20495330e-01
2.00000000e-01,1.95672511e+00,8.75511935e-02
4.00000000e-01,1.12932392e+00,5.05301723e-02
6.00000000e-01,8.11765776e-01,3.63214344e-02
8.00000000e-01,5.38326869e-01,2.40867559e-02
1.00000000e+00,4.12782147e-01,1.84694159e-02
