r,G,G_error
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.770414201183399427e-01,7.493775842079984928e-01,1.903391947818284516e-03
1.938934911242604642e+00,6.847236007706217764e-01,2.909969003827779770e-03
2.885680473372783439e+00,6.485837325683294630e-01,3.855121635498092066e-03
3.817278106508876334e+00,6.209540853909875091e-01,4.089165675923391551e-03
4.733727810650883328e+00,5.990796119698484912e-01,4.419063910390607502e-03
5.635029585798818630e+00,5.818614480147084045e-01,4.207108532561881949e-03
6.521183431952664478e+00,5.664705267014675805e-01,4.598274005300911037e-03
7.392189349112427976e+00,5.496680014073844767e-01,5.495199061552265112e-03
8.248047337278105573e+00,5.333473686069438724e-01,5.553008258497017097e-03
9.088757396449704373e+00,5.212953213478964676e-01,5.736908231408838037e-03
9.914319526627220824e+00,5.108736466617253003e-01,5.395316435022149207e-03
1.072473372781065137e+01,5.028100264111686757e-01,5.305178702247319127e-03
1.151999999999999602e+01,4.973149446587831202e-01,4.845080999438042615e-03
1.230011834319526542e+01,4.927093519980191849e-01,4.916755148345754167e-03
1.306508875739645248e+01,4.906705301867410052e-01,5.454980989057430472e-03
1.381491124260355008e+01,4.904195374444775268e-01,5.079493108175656829e-03
1.454958579881656533e+01,4.900612558061058777e-01,5.173063672496288137e-03
1.526911242603550534e+01,4.892923548929820066e-01,5.026617950515192314e-03
1.597349112426035944e+01,4.868834967680724102e-01,5.165813269917821603e-03
1.666272189349112409e+01,4.859019019150126462e-01,5.044711499085489416e-03
1.733680473372780995e+01,4.827671406145612187e-01,4.961368324399122003e-03
1.799573964497041345e+01,4.805208283893863119e-01,4.121769073028808648e-03
1.863952662721893816e+01,4.752634459525544863e-01,3.640328491049225988e-03
1.926816568047337341e+01,4.760507565615721970e-01,3.208910981862234026e-03
1.988165680473372632e+01,4.663439395797101539e-01,4.234272906920158626e-03
2.048000000000000043e+01,4.631291552109241261e-01,4.295387540975935392e-03
2.106319526627219219e+01,4.775676060696980585e-01,3.741151093670765006e-03
2.163124260355029804e+01,4.572518115400887595e-01,4.452666198053729756e-03
2.218414201183431800e+01,4.552196787494573460e-01,4.297330551255910958e-03
2.272189349112426271e+01,4.718085939654684813e-01,4.123803775824540566e-03
2.324449704142012152e+01,4.562884777165912564e-01,4.255582934388112831e-03
2.375195266272189443e+01,4.708606129693759801e-01,4.434379519250709716e-03
2.424426035502958499e+01,4.535810133244636000e-01,3.339753109161669713e-03
2.472142011834319675e+01,4.547764129971547664e-01,3.932391921781995710e-03
2.518343195266272261e+01,4.627523887910060529e-01,3.203957275031127112e-03
2.563029585798816612e+01,4.543830147064786273e-01,4.200984596750451626e-03
2.606201183431952728e+01,4.595648607427135213e-01,3.656206182248398183e-03
2.647857988165680609e+01,4.568863399542817394e-01,4.508546686271734313e-03
2.688000000000000256e+01,4.644740479515538367e-01,3.348040491453651256e-03
2.726627218934911312e+01,4.590376597282475601e-01,4.052949244862414334e-03
2.763739644970414133e+01,4.712500873507645127e-01,3.136072068786748164e-03
2.799337278106509075e+01,4.648544599196096083e-01,3.271243381908511827e-03
2.833420118343195426e+01,4.571189513133366855e-01,3.467198972735732569e-03
2.865988165680473543e+01,4.896267734491486223e-01,1.883201207313164828e-03
2.897041420118343069e+01,4.324273516124520489e-01,4.576506992917160968e-03
2.926579881656804716e+01,4.507284580319649847e-01,3.005147823277024358e-03
2.954603550295858128e+01,4.793381740191950957e-01,3.200923136571969928e-03
2.981112426035502949e+01,4.296732441385177625e-01,3.276073564185900695e-03
3.006106508875739536e+01,4.392288570612860599e-01,5.748607484699521167e-03
3.029585798816568243e+01,4.528198162611454247e-01,5.470679604133373529e-03
3.051550295857988360e+01,4.392081067277697204e-01,5.915925911981982817e-03
3.071999999999999886e+01,4.384653594942047317e-01,8.446740711768076226e-03
3.090934911242603533e+01,3.482235701032874164e-01,6.206385505811130854e-03
3.108355029585798945e+01,4.535979146157462227e-01,7.865136922413707918e-03
3.124260355029585767e+01,4.865325711973676470e-01,7.429940309019430165e-03
3.138650887573964710e+01,4.034377680773398311e-01,8.251363520792441564e-03
3.151526627218935062e+01,3.995981258841514450e-01,8.874760052928991685e-03
3.162887573964497179e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.172733727810651061e+01,4.136679142562249001e-01,8.986838000017264433e-03
3.181065088757396353e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.187881656804733765e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.193183431952662588e+01,4.151648342306640260e-01,1.065421965271733801e-02
3.196970414201183530e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.199242603550295883e+01,3.463939452756197857e-01,1.217385902323065219e-02
