index,energy_per_site
0.000000000000000000e+00,-2.348508208052832558e+00
1.000000000000000000e+00,-2.381984663873528252e+00
2.000000000000000000e+00,-2.358824128225328387e+00
3.000000000000000000e+00,-2.356364095452605945e+00
4.000000000000000000e+00,-2.387731937907532576e+00
5.000000000000000000e+00,-2.368767112391892304e+00
6.000000000000000000e+00,-2.360512190432478619e+00
7.000000000000000000e+00,-2.377055394936815613e+00
8.000000000000000000e+00,-2.372180433641418063e+00
9.000000000000000000e+00,-2.374298051313168845e+00
