step,energy_per_site
0.000000000000000000e+00,1.127927707663029189e+00
5.000000000000000000e+05,7.048578303989222471e-01
1.000000000000000000e+06,6.450468024860416261e-01
1.500000000000000000e+06,6.264772234030840936e-01
2.000000000000000000e+06,6.323875621708110462e-01
2.500000000000000000e+06,6.225322144458396156e-01
3.000000000000000000e+06,6.261933259610780178e-01
3.500000000000000000e+06,6.240010505276520902e-01
4.000000000000000000e+06,6.275472839978925021e-01
4.500000000000000000e+06,6.310207584436515749e-01
5.000000000000000000e+06,6.247599067332892941e-01
