r,G
0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e-01,8.989865982771237940e-01
1.500000000000000000e+00,8.398588419425181417e-01
2.500000000000000000e+00,8.149260804701827787e-01
3.500000000000000000e+00,7.985845382608803833e-01
4.500000000000000000e+00,7.847115155350080640e-01
5.500000000000000000e+00,7.745623218931566578e-01
6.500000000000000000e+00,7.673506990863497856e-01
7.500000000000000000e+00,7.605584153167200823e-01
8.500000000000000000e+00,7.551826049462224688e-01
9.500000000000000000e+00,7.499118998284077797e-01
1.050000000000000000e+01,7.458285641401033450e-01
1.150000000000000000e+01,7.407773452026578109e-01
1.250000000000000000e+01,7.364679868730157342e-01
1.350000000000000000e+01,7.323380770155956121e-01
1.450000000000000000e+01,7.279886592905380205e-01
1.550000000000000000e+01,7.240701920387530022e-01
1.650000000000000000e+01,7.221692042808645073e-01
1.750000000000000000e+01,7.191288296926529044e-01
1.850000000000000000e+01,7.170766287601701983e-01
1.950000000000000000e+01,7.150260797813280389e-01
2.050000000000000000e+01,7.132362791981736727e-01
2.150000000000000000e+01,7.111446048432453759e-01
2.250000000000000000e+01,7.087742973890658327e-01
2.350000000000000000e+01,7.068979905931296326e-01
2.450000000000000000e+01,7.047619920702277163e-01
2.550000000000000000e+01,7.028913761645378955e-01
2.650000000000000000e+01,7.008862122388421767e-01
2.750000000000000000e+01,6.991354650992304132e-01
2.850000000000000000e+01,6.967956455860119247e-01
2.950000000000000000e+01,6.941240519493151462e-01
3.050000000000000000e+01,6.928189496676527837e-01
3.150000000000000000e+01,6.901213175613770678e-01
3.250000000000000000e+01,6.887166328651969094e-01
3.350000000000000000e+01,6.856869257908756454e-01
3.450000000000000000e+01,6.844602225207161439e-01
3.550000000000000000e+01,6.810621876940003983e-01
3.650000000000000000e+01,6.797135322016623071e-01
3.750000000000000000e+01,6.775689785358358641e-01
3.850000000000000000e+01,6.752292432037273473e-01
3.950000000000000000e+01,6.731748306705913620e-01
4.050000000000000000e+01,6.719446816988408067e-01
4.150000000000000000e+01,6.706317317698253788e-01
4.250000000000000000e+01,6.682053991812019200e-01
4.350000000000000000e+01,6.676754387569719951e-01
4.450000000000000000e+01,6.663357796751074869e-01
4.550000000000000000e+01,6.663585152556086300e-01
4.650000000000000000e+01,6.649753875349554422e-01
4.750000000000000000e+01,6.653953804676413508e-01
4.850000000000000000e+01,6.630643290950414270e-01
4.950000000000000000e+01,6.642233028386836935e-01
5.050000000000000000e+01,6.638161212058993899e-01
5.150000000000000000e+01,6.642282590403557618e-01
5.250000000000000000e+01,6.631165553222108100e-01
5.350000000000000000e+01,6.651683841739628456e-01
5.450000000000000000e+01,6.640329393698513050e-01
5.550000000000000000e+01,6.661515234463261104e-01
5.650000000000000000e+01,6.702919175008986707e-01
5.750000000000000000e+01,6.719064031341677179e-01
5.850000000000000000e+01,6.729996191054360422e-01
5.950000000000000000e+01,6.739854304528299922e-01
6.050000000000000000e+01,6.756369397403859667e-01
6.150000000000000000e+01,6.755631320005565099e-01
6.250000000000000000e+01,6.770358050591660515e-01
6.350000000000000000e+01,6.784928146307245278e-01
