step,energy_per_site
0.000000000000000000e+00,1.125961502427729410e+00
5.000000000000000000e+05,5.621481259720977341e-01
1.000000000000000000e+06,4.890344484147792770e-01
1.500000000000000000e+06,4.737441960360980198e-01
2.000000000000000000e+06,4.776330209750903610e-01
2.500000000000000000e+06,4.704886623346226093e-01
3.000000000000000000e+06,4.634756957889705764e-01
3.500000000000000000e+06,4.680002997544684407e-01
4.000000000000000000e+06,4.686387988571397156e-01
4.500000000000000000e+06,4.706727623253583737e-01
5.000000000000000000e+06,4.624011576198749918e-01
