x,y,theta
0.000000000000000000e+00,0.000000000000000000e+00,-4.191318173645462997e-01
1.000000000000000000e+00,0.000000000000000000e+00,3.270270442602760674e-01
2.000000000000000000e+00,0.000000000000000000e+00,3.297749853375745444e-01
3.000000000000000000e+00,0.000000000000000000e+00,-5.192831480392506860e-01
4.000000000000000000e+00,0.000000000000000000e+00,4.145654252412098728e-01
5.000000000000000000e+00,0.000000000000000000e+00,4.041861728410383048e-01
6.000000000000000000e+00,0.000000000000000000e+00,3.721582459531047604e-01
7.000000000000000000e+00,0.000000000000000000e+00,3.564293667338992444e-01
8.000000000000000000e+00,0.000000000000000000e+00,3.947816274887261390e-01
9.000000000000000000e+00,0.000000000000000000e+00,3.675218903773915802e-01
1.000000000000000000e+01,0.000000000000000000e+00,3.843533697331701360e-01
1.100000000000000000e+01,0.000000000000000000e+00,3.914768813397810909e-01
1.200000000000000000e+01,0.000000000000000000e+00,3.983778465879761477e-01
1.300000000000000000e+01,0.000000000000000000e+00,3.615234166446117392e-01
1.400000000000000000e+01,0.000000000000000000e+00,3.522987774870620648e-01
1.500000000000000000e+01,0.000000000000000000e+00,3.082279253258242147e-01
1.600000000000000000e+01,0.000000000000000000e+00,3.171663932778814310e-01
1.700000000000000000e+01,0.000000000000000000e+00,2.810291325881404401e-01
1.800000000000000000e+01,0.000000000000000000e+00,3.677629539034185102e-01
1.900000000000000000e+01,0.000000000000000000e+00,2.590567594616485225e-01
2.000000000000000000e+01,0.000000000000000000e+00,3.319106516169452181e-01
2.100000000000000000e+01,0.000000000000000000e+00,3.522988307714648437e-01
2.200000000000000000e+01,0.000000000000000000e+00,4.083476782181308939e-01
2.300000000000000000e+01,0.000000000000000000e+00,3.256194586329784757e-01
2.400000000000000000e+01,0.000000000000000000e+00,3.625458669360740460e-01
2.500000000000000000e+01,0.000000000000000000e+00,3.666667663235384511e-01
2.600000000000000000e+01,0.000000000000000000e+00,4.089640961515754736e-01
