x,y,theta
0.000000000000000000e+00,0.000000000000000000e+00,-1.640553755395933178e-01
1.000000000000000000e+00,0.000000000000000000e+00,-1.634968033674557564e-01
2.000000000000000000e+00,0.000000000000000000e+00,-1.498561269585870215e-01
3.000000000000000000e+00,0.000000000000000000e+00,-2.047908178844501381e-01
4.000000000000000000e+00,0.000000000000000000e+00,-2.192091912342548632e-01
5.000000000000000000e+00,0.000000000000000000e+00,-2.371376995020647582e-01
6.000000000000000000e+00,0.000000000000000000e+00,-1.274338061777883779e-01
7.000000000000000000e+00,0.000000000000000000e+00,-1.340480137032417640e-01
8.000000000000000000e+00,0.000000000000000000e+00,-1.601941131764689774e-01
9.000000000000000000e+00,0.000000000000000000e+00,-2.132328685897948439e-01
1.000000000000000000e+01,0.000000000000000000e+00,-1.497161347310267399e-01
1.100000000000000000e+01,0.000000000000000000e+00,-2.211397826811469236e-01
1.200000000000000000e+01,0.000000000000000000e+00,-1.945129569794880608e-01
1.300000000000000000e+01,0.000000000000000000e+00,-3.188108892306599218e-01
1.400000000000000000e+01,0.000000000000000000e+00,-2.298635886262234695e-01
1.500000000000000000e+01,0.000000000000000000e+00,-2.229125710886049605e-01
5.000000000000000000e-01,8.660254037844385966e-01,-1.383199845064271849e-01
1.500000000000000000e+00,8.660254037844385966e-01,-1.746179797823095847e-01
2.500000000000000000e+00,8.660254037844385966e-01,-1.697786903988942608e-01
3.500000000000000000e+00,8.660254037844385966e-01,-1.589936925795584766e-01
4.500000000000000000e+00,8.660254037844385966e-01,-1.909489498712402256e-01
5.500000000000000000e+00,8.660254037844385966e-01,-2.492625035345601425e-01
6.500000000000000000e+00,8.660254037844385966e-01,-2.425472515085479452e-01
7.500000000000000000e+00,8.660254037844385966e-01,-2.352125512765457227e-01
8.500000000000000000e+00,8.660254037844385966e-01,-2.570718649054624105e-01
9.500000000000000000e+00,8.660254037844385966e-01,-1.375008870808117067e-01
1.050000000000000000e+01,8.660254037844385966e-01,-2.203571355745590488e-01
1.150000000000000000e+01,8.660254037844385966e-01,-2.205732244922291030e-01
1.250000000000000000e+01,8.660254037844385966e-01,-2.262296738740822710e-01
1.350000000000000000e+01,8.660254037844385966e-01,-2.155567603402682719e-01
1.450000000000000000e+01,8.660254037844385966e-01,-1.366585961653223324e-01
1.550000000000000000e+01,8.660254037844385966e-01,-1.010236639705164308e-01
