index,energy_per_site
0.000000000000000000e+00,-1.761500547703445940e-01
1.000000000000000000e+00,-1.947354065797050504e+00
2.000000000000000000e+00,-2.017501940363769286e+00
3.000000000000000000e+00,-1.974834066924716414e+00
4.000000000000000000e+00,-1.961670394207473356e+00
5.000000000000000000e+00,-2.008224412776842716e+00
6.000000000000000000e+00,-1.981439037114542057e+00
7.000000000000000000e+00,-1.922237462887648851e+00
8.000000000000000000e+00,-1.865212976697414593e+00
9.000000000000000000e+00,-1.927321607242627577e+00
