r,G(r),G_err(r)
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.770414201183399427e-01,6.540926584513779840e-01,4.482447953465741770e-03
1.938934911242604642e+00,5.608200701654387776e-01,5.980426925250145222e-03
2.885680473372783439e+00,5.107121340629880990e-01,7.622615019004434431e-03
3.817278106508876334e+00,4.774359518272183189e-01,9.281553711292831604e-03
4.733727810650883328e+00,4.547451391015941979e-01,1.034816830097886123e-02
5.635029585798818630e+00,4.429918482275255198e-01,1.153531457315538564e-02
6.521183431952664478e+00,4.295572444711791560e-01,1.195874992581822185e-02
7.392189349112427976e+00,4.171474858997611390e-01,1.259881565089645411e-02
8.248047337278105573e+00,4.091889899794352026e-01,1.281181988563771974e-02
9.088757396449704373e+00,4.056290287883846934e-01,1.308038542147090845e-02
9.914319526627220824e+00,3.993575634981679778e-01,1.324512638838478036e-02
1.072473372781065137e+01,3.950379612356346715e-01,1.353190217383402026e-02
1.151999999999999602e+01,3.933060102840557071e-01,1.240861102205524300e-02
1.230011834319526542e+01,3.917458551179471837e-01,1.152390242164055834e-02
1.306508875739645248e+01,3.906371279592753543e-01,1.116499255395288388e-02
1.381491124260355008e+01,3.892145338876626948e-01,1.043148695392111767e-02
1.454958579881656533e+01,3.887966248176956130e-01,1.104957073165721386e-02
1.526911242603550534e+01,3.893732826927975843e-01,1.105855685816674490e-02
1.597349112426035944e+01,3.898499236075215757e-01,1.034705744187571982e-02
1.666272189349112409e+01,3.882446114429062289e-01,1.048013853398079877e-02
1.733680473372780995e+01,3.875626582591522595e-01,1.077454106348693652e-02
1.799573964497041345e+01,3.860428136414333355e-01,1.075963122409337100e-02
1.863952662721893816e+01,3.838391291011996609e-01,1.053230679477272849e-02
1.926816568047337341e+01,3.833728737771294748e-01,1.041523588811935422e-02
1.988165680473372632e+01,3.776906441644420354e-01,1.139797697269809111e-02
2.048000000000000043e+01,3.720797911414923109e-01,1.260059421664799090e-02
2.106319526627219219e+01,3.731660795217907056e-01,1.259877722509835339e-02
2.163124260355029804e+01,3.639807818154685015e-01,1.364795119214407340e-02
2.218414201183431800e+01,3.564550514980348028e-01,1.466130499340497807e-02
2.272189349112426271e+01,3.575855449260471608e-01,1.548923647552576631e-02
2.324449704142012152e+01,3.446202195169011384e-01,1.639213247965576672e-02
2.375195266272189443e+01,3.484198157674270879e-01,1.683788495927809187e-02
2.424426035502958499e+01,3.321765244107010018e-01,1.847960987104764474e-02
2.472142011834319675e+01,3.241724526647297155e-01,1.908652085478748997e-02
2.518343195266272261e+01,3.227759409836467031e-01,1.833284654679125797e-02
2.563029585798816612e+01,3.116052048782080308e-01,1.964962156004339960e-02
2.606201183431952728e+01,3.060396312696639365e-01,1.916009267082324427e-02
2.647857988165680609e+01,3.026191797574052655e-01,1.771761603064169258e-02
2.688000000000000256e+01,2.928554384749272876e-01,1.900011247108637433e-02
2.726627218934911312e+01,2.859963990387478505e-01,1.797337763625855844e-02
2.763739644970414133e+01,2.824671293754683621e-01,2.102589504791444255e-02
2.799337278106509075e+01,2.756086418779809533e-01,1.898185560275162873e-02
2.833420118343195426e+01,2.662236768823419419e-01,1.877427176337674586e-02
2.865988165680473543e+01,2.762346065374115534e-01,2.348226521885497450e-02
2.897041420118343069e+01,2.526273935457635789e-01,2.182056709607171560e-02
2.926579881656804716e+01,2.513454590278130785e-01,2.119357545493679579e-02
2.954603550295858128e+01,2.591233779060584941e-01,2.308807934988766492e-02
2.981112426035502949e+01,2.419983096684953650e-01,2.042877464586776923e-02
3.006106508875739536e+01,2.458342146649727389e-01,1.985493984841348383e-02
3.029585798816568243e+01,2.382663836035213978e-01,2.287587890612691188e-02
3.051550295857988360e+01,2.372123853221883572e-01,2.351597898652625293e-02
3.071999999999999886e+01,2.446119812994380083e-01,2.102776549742446655e-02
3.090934911242603533e+01,2.120509347356213381e-01,2.488183127437408951e-02
3.108355029585798945e+01,2.305358604894369723e-01,2.211359610053941285e-02
3.124260355029585767e+01,2.272935610951383190e-01,2.898865822112657933e-02
3.138650887573964710e+01,2.240047052060786803e-01,2.135492410312493650e-02
3.151526627218935062e+01,2.382699942118400860e-01,2.326426870798447080e-02
3.162887573964497179e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.172733727810651061e+01,2.384251737523805093e-01,2.263607413601775517e-02
3.181065088757396353e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.187881656804733765e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.193183431952662588e+01,2.532160097164141699e-01,2.373602568455348769e-02
3.196970414201183530e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.199242603550295883e+01,2.527834524945703487e-01,1.773541435011909487e-02
