T,eta,eta_err,xi,xi_err
1.00000000e-05,-1.30641651e-07,6.66499948e-08,-5.40656621e+07,3.25881641e+07
5.00000000e-03,2.94721852e-05,2.44338904e-05,1.17488365e+06,5.71520876e+06
1.00000000e-02,-1.17373232e-04,7.35588615e-05,-9.89902345e+04,1.23547205e+05
2.50000000e-02,3.64531630e-04,1.48162927e-04,1.99205960e+04,1.00479627e+04
5.00000000e-02,2.02590620e-03,4.66392760e-04,3.13744257e+03,7.74699522e+02
1.00000000e-01,6.43694397e-04,7.60438947e-04,8.27978739e+03,8.43024445e+03
1.50000000e-01,-2.77367621e-03,1.52989598e-03,-3.12562202e+03,2.54837417e+03
2.00000000e-01,-1.12647916e-04,2.85813135e-03,5.83806859e+03,1.58001324e+04
4.00000000e-01,1.04709215e-03,7.61453004e-03,-1.16394940e+03,1.65689975e+03
6.00000000e-01,-4.35666992e-02,2.19943115e-02,-1.60077246e+02,9.41243605e+01
8.00000000e-01,5.42808840e-02,2.78344058e-02,1.20935876e+02,6.72096106e+01
1.00000000e+00,-7.01694260e-02,4.82293953e-02,-1.01216704e+02,8.17131834e+01
