T,chi,chi_err
1.00000000e-05,3.89853742e-04,1.74435133e-05
5.00000000e-03,1.90836042e-01,8.53871767e-03
1.00000000e-02,3.68164950e-01,1.64730757e-02
2.50000000e-02,7.95701720e-01,3.56026685e-02
5.00000000e-02,1.37847675e+00,6.16782012e-02
1.00000000e-01,1.64387238e+00,7.35529936e-02
1.50000000e-01,1.73406525e+00,7.75885596e-02
2.00000000e-01,1.47889413e+00,6.61712499e-02
4.00000000e-01,1.06645719e+00,4.77172802e-02
6.00000000e-01,7.32655286e-01,3.27817355e-02
8.00000000e-01,5.87753783e-01,2.62983007e-02
1.00000000e+00,4.44545249e-01,1.98906157e-02
