step,energy_per_site
0.000000000000000000e+00,5.438061588749035780e-01
1.000000000000000000e+06,2.790871549586100842e-01
2.000000000000000000e+06,2.762253952926929657e-01
3.000000000000000000e+06,2.709657824565725459e-01
4.000000000000000000e+06,2.762714821814199473e-01
5.000000000000000000e+06,2.721212276498347626e-01
6.000000000000000000e+06,2.672740517257483628e-01
7.000000000000000000e+06,2.715701201247281982e-01
8.000000000000000000e+06,2.753423005031891413e-01
9.000000000000000000e+06,2.649016079290622550e-01
1.000000000000000000e+07,2.676918391074957770e-01
