r,r_error,G,G_error
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.999999999999960032e-01,3.347448369359225286e-17,7.559286855912564773e-01,2.302810000036784998e-03
9.999999999999988898e-01,3.347448369359225286e-17,7.746449262072586661e-01,1.059910963283975001e-03
9.999999999999998890e-01,3.347448369359225286e-17,7.922941437742150317e-01,1.464296928561928000e-03
9.999999999999998890e-01,0.000000000000000000e+00,6.553869035093418116e-01,4.356298926582806777e-03
1.000000000000000000e+00,0.000000000000000000e+00,7.649700126463944150e-01,8.118768327110872625e-04
1.000000000000000222e+00,0.000000000000000000e+00,7.146411512499230012e-01,4.456404161013507829e-03
1.000000000000000222e+00,6.694896738718450572e-17,7.727860904673454767e-01,1.703362041369519287e-03
1.000000000000001998e+00,0.000000000000000000e+00,7.701984441308944440e-01,8.669829909245170031e-04
1.732050807568874973e+00,0.000000000000000000e+00,7.010600372729288710e-01,1.237214145766258591e-03
1.732050807568876971e+00,6.694896738718450572e-17,7.162259424118186946e-01,7.993338823708335704e-04
1.732050807568877193e+00,0.000000000000000000e+00,6.808808840981526167e-01,1.279875826405948644e-03
1.732050807568877193e+00,6.694896738718450572e-17,5.770538887116264393e-01,3.099379714980624815e-03
1.732050807568878303e+00,2.008469021615535172e-16,7.146432072943734726e-01,1.982797166705617311e-03
1.732050807568878525e+00,0.000000000000000000e+00,7.108750926850470053e-01,1.247668395642381658e-03
1.732050807568882078e+00,0.000000000000000000e+00,7.328562643063719628e-01,2.697999213848455841e-03
1.999999999999997780e+00,6.694896738718450572e-17,6.973902187882181636e-01,1.251285903502530805e-03
1.999999999999999778e+00,6.694896738718450572e-17,7.009135184527426343e-01,1.358758972948048574e-03
1.999999999999999778e+00,0.000000000000000000e+00,6.313932293477345636e-01,5.097350246338514315e-03
2.000000000000000000e+00,0.000000000000000000e+00,6.819596661286860817e-01,9.407361112432894960e-04
2.000000000000000444e+00,0.000000000000000000e+00,7.063889520389320387e-01,3.318717288188744678e-03
2.000000000000000444e+00,1.338979347743690114e-16,7.032650692210241639e-01,1.505655624599930211e-03
2.000000000000003997e+00,0.000000000000000000e+00,7.081794261720051331e-01,1.597838751190534335e-03
2.645751311064583167e+00,1.338979347743690114e-16,5.982687391739948124e-01,1.052684428277623693e-02
2.645751311064586719e+00,1.338979347743690114e-16,6.098120498699471925e-01,4.062338481377354184e-03
2.645751311064589384e+00,1.338979347743690114e-16,6.607386533679480145e-01,1.342649298259193181e-03
2.645751311064589828e+00,0.000000000000000000e+00,7.253474158470869515e-01,3.225784627906339106e-03
2.645751311064590272e+00,0.000000000000000000e+00,6.835890093081257168e-01,1.154911725556281507e-03
2.645751311064590272e+00,1.338979347743690114e-16,6.544536998847346743e-01,8.634621240076259530e-04
2.645751311064592048e+00,1.338979347743690114e-16,6.625181326097842049e-01,1.046427973508790021e-03
2.645751311064592937e+00,1.338979347743690114e-16,5.968522306386629950e-01,4.446781746064301828e-03
2.645751311064593825e+00,0.000000000000000000e+00,6.740957935126540290e-01,1.645386711163228117e-03
2.645751311064593825e+00,1.338979347743690114e-16,7.885290190402625132e-01,8.933533476894560746e-03
2.999999999999993339e+00,2.677958695487380229e-16,5.886500808528003503e-01,1.158535633819033316e-02
2.999999999999996891e+00,0.000000000000000000e+00,5.897986731388302761e-01,3.430822588611537154e-03
2.999999999999999556e+00,2.677958695487380229e-16,6.887335105038372429e-01,2.815468876982496829e-03
2.999999999999999556e+00,0.000000000000000000e+00,7.090035027813225144e-01,3.180907256524727854e-03
3.000000000000000000e+00,0.000000000000000000e+00,6.479100286882737425e-01,7.933383719909468208e-04
3.000000000000000444e+00,1.338979347743690114e-16,6.846357572493388943e-01,4.550796279658280222e-03
3.000000000000001332e+00,1.338979347743690114e-16,6.519319471647379016e-01,2.718121684613623596e-03
3.000000000000003109e+00,0.000000000000000000e+00,7.799804171989087598e-01,6.020538036191202570e-03
3.464101615137749945e+00,0.000000000000000000e+00,6.211441577203369313e-01,3.174447827410460405e-03
3.464101615137753942e+00,1.338979347743690114e-16,6.405501546150506043e-01,1.357706769552410268e-03
3.464101615137754386e+00,0.000000000000000000e+00,6.190420418644929645e-01,1.296998057460305772e-03
3.464101615137754386e+00,1.338979347743690114e-16,6.545338989972180332e-01,3.291936690385689236e-03
3.464101615137756607e+00,4.016938043231070343e-16,6.457556653946224801e-01,1.871707361009180897e-03
3.464101615137757051e+00,0.000000000000000000e+00,6.414994616991134269e-01,1.637561833602393978e-03
3.605551275463983352e+00,2.677958695487380229e-16,5.902706240486677025e-01,1.164627828965984074e-02
3.605551275463985128e+00,1.338979347743690114e-16,6.165185177845815545e-01,2.214080291915123365e-03
3.605551275463987349e+00,1.338979347743690114e-16,5.540695362245412481e-01,3.144056108463732027e-03
3.605551275463988237e+00,0.000000000000000000e+00,6.333342421978364056e-01,1.255897934302936192e-03
3.605551275463988237e+00,1.338979347743690114e-16,6.823819217083542110e-01,3.368096631831466597e-03
3.605551275463988237e+00,2.677958695487380229e-16,6.322895352209467745e-01,7.543414171251250832e-04
3.605551275463988237e+00,4.016938043231070343e-16,6.230614088339279100e-01,1.044419995377990308e-03
3.605551275463989569e+00,1.338979347743690114e-16,6.361809227063893735e-01,2.070382219231856578e-03
3.605551275463990457e+00,1.338979347743690114e-16,6.709717845606061326e-01,4.343405110802288187e-03
3.605551275463992233e+00,1.338979347743690114e-16,6.575566179496865615e-01,1.320056707817720892e-03
3.999999999999995559e+00,1.338979347743690114e-16,6.054240840261582157e-01,1.556247126364668047e-03
3.999999999999999556e+00,1.338979347743690114e-16,6.320441195658585976e-01,2.022599779493042520e-03
3.999999999999999556e+00,0.000000000000000000e+00,6.160007422326354565e-01,1.318457876859816837e-03
4.000000000000000000e+00,0.000000000000000000e+00,6.125929972765210563e-01,7.187322725428445507e-04
4.000000000000000888e+00,0.000000000000000000e+00,6.272525340025438823e-01,1.596741033152172242e-03
