r,G
0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e-01,5.967508690170626462e-01
1.500000000000000000e+00,3.594907923777958536e-01
2.500000000000000000e+00,2.569268898454575845e-01
3.500000000000000000e+00,1.853945158857058795e-01
4.500000000000000000e+00,1.374549356179514126e-01
5.500000000000000000e+00,1.048364596486144745e-01
6.500000000000000000e+00,8.376017691243306529e-02
7.500000000000000000e+00,6.731076945438592418e-02
8.500000000000000000e+00,5.537552571353918790e-02
9.500000000000000000e+00,4.361202539193927835e-02
1.050000000000000000e+01,3.396503471548899256e-02
1.150000000000000000e+01,2.483864521881015350e-02
1.250000000000000000e+01,1.869486699621600648e-02
1.350000000000000000e+01,1.170730721000233683e-02
1.450000000000000000e+01,8.965017888314200448e-03
1.550000000000000000e+01,5.746421316980432174e-03
1.650000000000000000e+01,2.367247558031286819e-03
1.750000000000000000e+01,1.220832700786957797e-03
1.850000000000000000e+01,1.132470436649736555e-03
1.950000000000000000e+01,2.255188018348875788e-03
2.050000000000000000e+01,2.625050799290473517e-03
2.150000000000000000e+01,2.464338050371983006e-03
2.250000000000000000e+01,2.288249223674262717e-03
2.350000000000000000e+01,1.415917124261060903e-03
2.450000000000000000e+01,1.766401616705750395e-03
2.550000000000000000e+01,7.254443085012083053e-04
2.650000000000000000e+01,1.292773486708925649e-03
2.750000000000000000e+01,2.626164300851139850e-03
2.850000000000000000e+01,3.141611559446922265e-03
2.950000000000000000e+01,4.495907427485173503e-03
3.050000000000000000e+01,4.250621426238872756e-03
3.150000000000000000e+01,5.755292808948334927e-03
3.250000000000000000e+01,6.391351059193923177e-03
3.350000000000000000e+01,8.728735561146632252e-03
3.450000000000000000e+01,7.921515564381002503e-03
3.550000000000000000e+01,7.927421277532773272e-03
3.650000000000000000e+01,6.723270799856537715e-03
3.750000000000000000e+01,5.324455485082646433e-03
3.850000000000000000e+01,4.186387527782158870e-03
3.950000000000000000e+01,2.454182078377219276e-03
4.050000000000000000e+01,6.752927071961696516e-04
4.150000000000000000e+01,5.520472286163279714e-04
4.250000000000000000e+01,1.139038101182323357e-03
4.350000000000000000e+01,1.039197551078678517e-03
4.450000000000000000e+01,1.936335359872782364e-03
4.550000000000000000e+01,2.943483811948597977e-03
4.650000000000000000e+01,4.197907132511797396e-03
4.750000000000000000e+01,5.608136911965596466e-03
4.850000000000000000e+01,5.976418241030364772e-03
4.950000000000000000e+01,5.499747138896176821e-03
5.050000000000000000e+01,4.240499069342605447e-03
5.150000000000000000e+01,4.579813056973754994e-03
5.250000000000000000e+01,4.612492832936850723e-03
5.350000000000000000e+01,4.444012401254699395e-03
5.450000000000000000e+01,5.179179593963296850e-03
5.550000000000000000e+01,5.235225622687571245e-03
5.650000000000000000e+01,3.010357143854317311e-03
5.750000000000000000e+01,3.250068165178776527e-03
5.850000000000000000e+01,3.679710127917134015e-03
5.950000000000000000e+01,3.288662322199827504e-03
6.050000000000000000e+01,3.729223004351900610e-03
6.150000000000000000e+01,4.464612374369570681e-03
6.250000000000000000e+01,4.537351101117186904e-03
6.350000000000000000e+01,3.096953679315834866e-03
