index,energy_per_site
0.000000000000000000e+00,-2.811251488243332042e-01
1.000000000000000000e+00,-2.727956815586138450e+00
2.000000000000000000e+00,-2.731242357140317711e+00
3.000000000000000000e+00,-2.727692157615144719e+00
4.000000000000000000e+00,-2.731123649761608707e+00
5.000000000000000000e+00,-2.725750856905896136e+00
6.000000000000000000e+00,-2.729469136927642481e+00
7.000000000000000000e+00,-2.730558096972190540e+00
8.000000000000000000e+00,-2.727740175451489613e+00
9.000000000000000000e+00,-2.727642412791897453e+00
