step,energy_per_site
0.000000000000000000e+00,5.351517804973187076e-01
1.000000000000000000e+06,8.778009827637525686e-02
2.000000000000000000e+06,7.108347277407189857e-02
3.000000000000000000e+06,6.373133594195487528e-02
4.000000000000000000e+06,6.334921028720710834e-02
5.000000000000000000e+06,6.349952381090195885e-02
6.000000000000000000e+06,6.104118041299667202e-02
7.000000000000000000e+06,6.279830547213897940e-02
8.000000000000000000e+06,6.418491135302958894e-02
9.000000000000000000e+06,6.175398018435455938e-02
1.000000000000000000e+07,6.120621923319406049e-02
