step,energy_per_site
0.000000000000000000e+00,5.064753438921100470e-02
5.000000000000000000e+05,4.782997747212977297e-06
1.000000000000000000e+06,4.936827443139261135e-06
1.500000000000000000e+06,5.201816910145940855e-06
2.000000000000000000e+06,5.041046857470773004e-06
2.500000000000000000e+06,5.054676799949244709e-06
3.000000000000000000e+06,4.892083161991292334e-06
3.500000000000000000e+06,5.051746487567361327e-06
4.000000000000000000e+06,4.837226497346340671e-06
4.500000000000000000e+06,4.896900732529785416e-06
5.000000000000000000e+06,4.962987573963607006e-06
