index,energy_per_site
0.000000000000000000e+00,4.449644603698735268e-01
1.000000000000000000e+00,2.831598643600388709e-01
2.000000000000000000e+00,2.927614721793107000e-01
3.000000000000000000e+00,3.087919654554264204e-01
4.000000000000000000e+00,3.134663386462882562e-01
5.000000000000000000e+00,2.794185696180764844e-01
6.000000000000000000e+00,2.803041474722346993e-01
7.000000000000000000e+00,2.901250579688648967e-01
8.000000000000000000e+00,2.815866318928382794e-01
9.000000000000000000e+00,2.671650190240140166e-01
