index,energy_per_site
0.000000000000000000e+00,-1.735358861269320041e+00
1.000000000000000000e+00,-1.759490494370145264e+00
2.000000000000000000e+00,-1.784940483741155992e+00
3.000000000000000000e+00,-1.797174734885489178e+00
4.000000000000000000e+00,-1.796712418544768042e+00
5.000000000000000000e+00,-1.714088830647106931e+00
6.000000000000000000e+00,-1.787924188662251224e+00
7.000000000000000000e+00,-1.713922123305648748e+00
8.000000000000000000e+00,-1.636905042891771522e+00
9.000000000000000000e+00,-1.776297051604166510e+00
