step,energy_per_site
0.000000000000000000e+00,1.126821105552863855e+00
5.000000000000000000e+05,7.463676497119213771e-01
1.000000000000000000e+06,6.961653865904225968e-01
1.500000000000000000e+06,6.827193912914091278e-01
2.000000000000000000e+06,6.737275699081115565e-01
2.500000000000000000e+06,6.704622236713801975e-01
3.000000000000000000e+06,6.733783198618317201e-01
3.500000000000000000e+06,6.716029028962013925e-01
4.000000000000000000e+06,6.733389212086732245e-01
4.500000000000000000e+06,6.621159515567456300e-01
5.000000000000000000e+06,6.713451498742843970e-01
