index,energy_per_site
0.000000000000000000e+00,-2.372041298341141524e-01
1.000000000000000000e+00,-2.531189853201430751e+00
2.000000000000000000e+00,-2.527866105725329327e+00
3.000000000000000000e+00,-2.528882465840996296e+00
4.000000000000000000e+00,-2.537615996226886939e+00
5.000000000000000000e+00,-2.534828078480849012e+00
6.000000000000000000e+00,-2.531644796610804438e+00
7.000000000000000000e+00,-2.532408095126347458e+00
8.000000000000000000e+00,-2.544000315426806935e+00
9.000000000000000000e+00,-2.535427216353742796e+00
