index,energy_per_site
0.000000000000000000e+00,-1.773803592665331719e-01
1.000000000000000000e+00,-2.216757574532918884e+00
2.000000000000000000e+00,-2.271389064707685090e+00
3.000000000000000000e+00,-2.262090079815076482e+00
4.000000000000000000e+00,-2.249435363398793797e+00
5.000000000000000000e+00,-2.254605834641910889e+00
6.000000000000000000e+00,-2.223018487156600109e+00
7.000000000000000000e+00,-2.263539867070715417e+00
8.000000000000000000e+00,-2.205459227253253385e+00
9.000000000000000000e+00,-2.247184989444753533e+00
