r,G
0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e-01,9.996567524408505045e-01
1.500000000000000000e+00,9.991191615751566779e-01
2.500000000000000000e+00,9.983386355654875199e-01
3.500000000000000000e+00,9.969424134250185476e-01
4.500000000000000000e+00,9.954029007596580936e-01
5.500000000000000000e+00,9.936202033475782791e-01
6.500000000000000000e+00,9.916705122683069362e-01
7.500000000000000000e+00,9.898117971835213025e-01
8.500000000000000000e+00,9.878189139962441079e-01
9.500000000000000000e+00,9.855851173458618497e-01
1.050000000000000000e+01,9.832144079587518126e-01
1.150000000000000000e+01,9.813967450745481047e-01
1.250000000000000000e+01,9.796671138931412059e-01
1.350000000000000000e+01,9.776558391362105693e-01
1.450000000000000000e+01,9.761506475149342998e-01
1.550000000000000000e+01,9.747832635191721051e-01
1.650000000000000000e+01,9.724072888935159087e-01
1.750000000000000000e+01,9.715830554956773613e-01
1.850000000000000000e+01,9.702255779039913319e-01
1.950000000000000000e+01,9.690986288364039636e-01
2.050000000000000000e+01,9.680344020659639170e-01
2.150000000000000000e+01,9.672512938315184217e-01
2.250000000000000000e+01,9.658784782364313592e-01
2.350000000000000000e+01,9.651798738737966676e-01
2.450000000000000000e+01,9.642451233765324536e-01
2.550000000000000000e+01,9.636275999783516788e-01
2.650000000000000000e+01,9.626166486673741751e-01
2.750000000000000000e+01,9.626186587204245138e-01
2.850000000000000000e+01,9.615172127774275213e-01
2.950000000000000000e+01,9.603217150678912128e-01
3.050000000000000000e+01,9.600923327509364169e-01
3.150000000000000000e+01,9.596541290218191245e-01
3.250000000000000000e+01,9.590387184295052769e-01
3.350000000000000000e+01,9.583706668182270239e-01
3.450000000000000000e+01,9.580587200401775583e-01
3.550000000000000000e+01,9.569136093411323429e-01
3.650000000000000000e+01,9.563475076478650250e-01
3.750000000000000000e+01,9.565073332506250914e-01
3.850000000000000000e+01,9.556252806711383885e-01
3.950000000000000000e+01,9.551584233580545646e-01
4.050000000000000000e+01,9.549837726333268995e-01
4.150000000000000000e+01,9.541133800001044829e-01
4.250000000000000000e+01,9.538206005063577519e-01
4.350000000000000000e+01,9.529622508574842055e-01
4.450000000000000000e+01,9.529028675823993932e-01
4.550000000000000000e+01,9.522232173110952713e-01
4.650000000000000000e+01,9.522535616648762913e-01
4.750000000000000000e+01,9.513979739033211480e-01
4.850000000000000000e+01,9.509905844236473671e-01
4.950000000000000000e+01,9.501517757150341748e-01
5.050000000000000000e+01,9.506796027067604404e-01
5.150000000000000000e+01,9.495390046790919136e-01
5.250000000000000000e+01,9.501133173407623200e-01
5.350000000000000000e+01,9.492190869468773995e-01
5.450000000000000000e+01,9.493677336590107263e-01
5.550000000000000000e+01,9.489761904402796988e-01
5.650000000000000000e+01,9.503279245509435036e-01
5.750000000000000000e+01,9.503143245236208569e-01
5.850000000000000000e+01,9.511873546700548854e-01
5.950000000000000000e+01,9.513432577675476898e-01
6.050000000000000000e+01,9.519070454328044661e-01
6.150000000000000000e+01,9.522731442378041811e-01
6.250000000000000000e+01,9.525046824635691189e-01
6.350000000000000000e+01,9.530480711804826255e-01
