step,energy_per_site
0.000000000000000000e+00,5.334344489776547960e-01
5.000000000000000000e+05,2.465146877783669921e-01
1.000000000000000000e+06,2.363687197921601479e-01
1.500000000000000000e+06,2.345755126828075465e-01
2.000000000000000000e+06,2.312806349325195188e-01
2.500000000000000000e+06,2.335493813192415224e-01
3.000000000000000000e+06,2.341871927539637688e-01
3.500000000000000000e+06,2.282758227396028128e-01
4.000000000000000000e+06,2.239334232982177764e-01
4.500000000000000000e+06,2.456074249904687812e-01
5.000000000000000000e+06,2.291096991880763878e-01
