step,energy_per_site
0.000000000000000000e+00,5.132186098442589328e-01
5.000000000000000000e+05,6.599195838480645393e-02
1.000000000000000000e+06,7.025963753766587862e-03
1.500000000000000000e+06,5.743331362091820894e-03
2.000000000000000000e+06,5.077832360038170290e-03
2.500000000000000000e+06,4.780033020658411985e-03
3.000000000000000000e+06,4.321569779604516291e-03
3.500000000000000000e+06,3.864407744872412707e-03
4.000000000000000000e+06,3.717436550779060992e-03
4.500000000000000000e+06,3.642636143586269921e-03
5.000000000000000000e+06,3.530409392864193412e-03
