step,energy_per_site
0.000000000000000000e+00,7.647619870396078767e-02
5.000000000000000000e+04,7.910908774351271822e-02
1.000000000000000000e+05,7.509961663812207699e-02
1.500000000000000000e+05,7.880570773005010632e-02
2.000000000000000000e+05,7.492387195502413222e-02
2.500000000000000000e+05,7.769368464924777951e-02
3.000000000000000000e+05,8.297937336209999792e-02
3.500000000000000000e+05,7.629476003852025956e-02
4.000000000000000000e+05,8.098454307596396340e-02
4.500000000000000000e+05,8.303892830671347203e-02
5.000000000000000000e+05,7.842583284957835299e-02
