index,energy_per_site
0.000000000000000000e+00,5.326090593932197859e-01
1.000000000000000000e+00,2.831166954688124626e-01
2.000000000000000000e+00,2.806645391540957268e-01
3.000000000000000000e+00,2.834118743234592674e-01
4.000000000000000000e+00,2.826980938121100295e-01
5.000000000000000000e+00,2.824829004100593566e-01
6.000000000000000000e+00,2.818249377401712552e-01
7.000000000000000000e+00,2.794034347600492518e-01
8.000000000000000000e+00,2.805333210107610054e-01
9.000000000000000000e+00,2.830420887695794807e-01
