step,energy_per_site
0.000000000000000000e+00,5.481173180217882024e-01
1.000000000000000000e+06,3.281791771099715205e-01
2.000000000000000000e+06,3.184177971295374387e-01
3.000000000000000000e+06,3.231501642060784496e-01
4.000000000000000000e+06,3.246728187746255601e-01
5.000000000000000000e+06,3.155927168311037923e-01
6.000000000000000000e+06,3.253059994024930512e-01
7.000000000000000000e+06,3.257701060843716800e-01
8.000000000000000000e+06,3.219811879964573631e-01
9.000000000000000000e+06,3.299394558044850267e-01
1.000000000000000000e+07,3.153648971573612680e-01
