T,chi,chi_err
1.00000000e-05,1.41695688e-05,6.33999460e-07
1.00000000e-02,4.04605538e-04,1.81035638e-05
5.00000000e-02,1.50855515e-01,6.74983947e-03
1.00000000e-01,9.86615727e+00,4.41448746e-01
1.50000000e-01,4.08352790e+01,1.82712299e+00
1.60000000e-01,2.55977529e+01,1.14533912e+00
1.70000000e-01,2.49325392e+01,1.11557498e+00
1.80000000e-01,4.30906954e+01,1.92803874e+00
1.85000000e-01,2.71078973e+01,1.21290863e+00
1.90000000e-01,3.21448077e+01,1.43827882e+00
1.95000000e-01,6.32031169e+01,2.82794364e+00
2.00000000e-01,2.84629351e+02,1.27353808e+01
2.05000000e-01,2.25505321e+02,1.00899508e+01
2.10000000e-01,8.21295534e+01,3.67478314e+00
2.15000000e-01,7.89878981e+01,3.53421374e+00
2.20000000e-01,9.07164948e+01,4.05899499e+00
2.50000000e-01,1.24087029e+01,5.55211741e-01
3.00000000e-01,4.32426794e+00,1.93483907e-01
