T,eta,eta_err,xi,xi_err
1.00000000e-05,1.59824821e+00,2.36523995e-01,4.66153807e+00,7.17885382e-01
1.00000000e-02,6.10635988e-05,1.39435041e-06,1.86890249e+05,8.81854212e+03
5.00000000e-02,3.23953311e-03,9.08230607e-05,3.47527026e+03,1.42181947e+02
1.00000000e-01,4.11690957e-02,2.54789553e-03,2.53899203e+02,3.63077903e+00
1.50000000e-01,9.41323506e-02,2.79205875e-03,1.19136055e+02,4.66818889e+00
1.60000000e-01,8.59189026e-02,9.43180764e-04,1.38621118e+02,9.31002086e+00
1.70000000e-01,1.18075597e-01,1.15783849e-03,9.97492402e+01,6.11062355e+00
1.80000000e-01,2.00028911e-01,6.44115204e-03,5.59085011e+01,2.18515627e+00
1.85000000e-01,1.82393939e-01,1.69349583e-03,6.48285993e+01,4.09838345e+00
1.90000000e-01,2.26635578e-01,5.27138671e-03,5.05503028e+01,2.52092607e+00
1.95000000e-01,3.25823299e-01,7.26948171e-03,3.51359638e+01,1.71969805e+00
2.00000000e-01,5.69110766e-01,3.09031076e-02,1.86745674e+01,3.57852150e-01
2.05000000e-01,8.08592290e-01,2.63241456e-02,1.38846447e+01,5.86912132e-01
2.10000000e-01,1.52860849e+00,1.17155609e-01,6.65737315e+00,1.37056800e-01
2.15000000e-01,1.40122705e+00,6.76414109e-02,7.75579160e+00,2.56514638e-01
2.20000000e-01,1.39559770e+00,5.05470397e-02,8.22442121e+00,4.81604002e-01
2.50000000e-01,1.92758058e+00,1.40785120e-01,6.11942106e+00,6.48865039e-01
3.00000000e-01,1.34168756e+00,1.64597016e-01,8.96512270e+00,1.65698705e+00
