step,energy_per_site
0.000000000000000000e+00,1.126143372405552068e+00
3.000000000000000000e+05,1.855675826788411031e-01
6.000000000000000000e+05,1.268168387087779403e-01
9.000000000000000000e+05,9.698972213543696763e-02
1.200000000000000000e+06,8.341407507642126240e-02
1.500000000000000000e+06,7.225413448038855990e-02
1.800000000000000000e+06,6.290202920509821438e-02
2.100000000000000000e+06,5.656214779731497805e-02
2.400000000000000000e+06,5.273036890448198899e-02
2.700000000000000000e+06,4.849770942630297899e-02
3.000000000000000000e+06,4.451900142311206177e-02
