step,energy_per_site
0.000000000000000000e+00,1.120552439530618782e+00
5.000000000000000000e+05,7.373937793207141489e-01
1.000000000000000000e+06,6.851854084146791202e-01
1.500000000000000000e+06,6.808517042922358486e-01
2.000000000000000000e+06,6.715146878968756283e-01
2.500000000000000000e+06,6.729262497793674358e-01
3.000000000000000000e+06,6.792511106697318723e-01
3.500000000000000000e+06,6.699931045277143227e-01
4.000000000000000000e+06,6.783531563059230773e-01
4.500000000000000000e+06,6.664176392212577404e-01
5.000000000000000000e+06,6.556497066120063888e-01
