index,energy_per_site
0.000000000000000000e+00,-1.719274492715339442e-01
1.000000000000000000e+00,-2.328909273884272491e+00
2.000000000000000000e+00,-2.311426837231266518e+00
3.000000000000000000e+00,-2.403113350334992404e+00
4.000000000000000000e+00,-2.330849743779017658e+00
5.000000000000000000e+00,-2.372896460012427600e+00
6.000000000000000000e+00,-2.330835363628728896e+00
7.000000000000000000e+00,-2.345144028035733630e+00
8.000000000000000000e+00,-2.368570013627492976e+00
9.000000000000000000e+00,-2.379241655636822994e+00
