T,eta,eta_err,xi,xi_err
1.00000000e-05,-2.45861076e-08,5.27950946e-07,1.21861319e+08,2.35262743e+09
5.00000000e-03,6.79915716e-04,3.13181014e-04,5.31307747e+03,2.78289634e+03
1.00000000e-02,2.86900615e-04,8.22320954e-04,-1.35917560e+05,4.59782841e+06
5.00000000e-02,-3.43557397e-03,3.16555361e-03,-8.37856202e+02,6.47487366e+02
1.00000000e-01,-1.54556021e-02,1.94626972e-02,-1.41369058e+02,1.09528771e+02
1.50000000e-01,5.64755896e-03,1.97239767e-02,1.25931234e+04,9.44122056e+05
2.00000000e-01,7.01443812e-02,3.03862013e-02,4.17896938e+01,1.40406813e+01
4.00000000e-01,-1.93063378e-01,3.21683545e-01,-2.42875995e+02,5.83826618e+03
6.00000000e-01,1.06935578e-01,3.42527026e-01,-8.16155202e+02,6.89417722e+04
8.00000000e-01,9.92907265e-01,1.40969217e+00,3.04588909e+00,3.04687095e+00
1.00000000e+00,3.22077994e-01,2.61527479e-01,1.62023852e+01,2.18843508e+01
