T,chi,chi_err
1.00000000e-05,1.65459337e-03,7.40326904e-05
5.00000000e-03,7.34204459e-01,3.28510512e-02
1.00000000e-02,1.36965661e+00,6.12835550e-02
5.00000000e-02,3.55921479e+00,1.59252571e-01
1.00000000e-01,3.09859653e+00,1.38642788e-01
1.50000000e-01,2.56644331e+00,1.14832264e-01
2.00000000e-01,2.04453880e+00,9.14803065e-02
4.00000000e-01,1.08852635e+00,4.87047368e-02
6.00000000e-01,6.43363575e-01,2.87864906e-02
8.00000000e-01,4.68057814e-01,2.09426557e-02
1.00000000e+00,3.47783664e-01,1.55611408e-02
