r,G
0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e-01,5.049586889527617473e-01
1.500000000000000000e+00,2.337517143307351053e-01
2.500000000000000000e+00,1.296175206046406569e-01
3.500000000000000000e+00,7.396804170855973692e-02
4.500000000000000000e+00,3.729035988524945222e-02
5.500000000000000000e+00,1.686037930596453668e-02
6.500000000000000000e+00,8.217714400067603273e-03
7.500000000000000000e+00,4.543271566571521237e-03
8.500000000000000000e+00,2.885423506921815529e-03
9.500000000000000000e+00,3.254611714675867233e-03
1.050000000000000000e+01,2.539666521099321998e-03
1.150000000000000000e+01,2.990575032024460431e-03
1.250000000000000000e+01,2.970860972500352463e-03
1.350000000000000000e+01,2.710845699266546498e-03
1.450000000000000000e+01,2.191787935274524656e-03
1.550000000000000000e+01,5.596523048600489901e-03
1.650000000000000000e+01,6.340661227594979361e-03
1.750000000000000000e+01,5.902658213067258144e-03
1.850000000000000000e+01,6.020040809592786847e-03
1.950000000000000000e+01,4.963852592820149241e-03
2.050000000000000000e+01,3.007012749874155271e-03
2.150000000000000000e+01,3.018389311434139990e-03
2.250000000000000000e+01,1.994613305799097097e-03
2.350000000000000000e+01,5.655784597321336128e-03
2.450000000000000000e+01,5.873860716616108313e-03
2.550000000000000000e+01,6.056980594743873944e-03
2.650000000000000000e+01,7.630205770364104252e-03
2.750000000000000000e+01,8.344791060479576916e-03
2.850000000000000000e+01,8.659585870615266537e-03
2.950000000000000000e+01,8.920246440509500135e-03
3.050000000000000000e+01,5.334411954109916781e-03
3.150000000000000000e+01,1.758231633402366871e-03
